product_title,gender,product_type,color,usage,color_details,heel_height,heel_type,price_usd,brand,product_id,image
Lotto men basketball mid white sports shoe,men,sports shoes,white,sports,[],,,75,lotto,60,60.jpg
Numero uno men white shoes,men,casual shoes,white,casual,[],,,60,numero uno,61,61.jpg
Nike men lunarswift+ 3 shield grey sports shoes,men,sports shoes,grey,sports,[],,,80,nike,62,62.jpg
Red tape men casual black casual shoes,men,casual shoes,black,casual,[],,,50,red tape,63,63.jpg
Nike men's lunarswift black shoe,men,sports shoes,black,sports,[],,,165,nike,64,64.jpg
Nike men wardour chukka yellow casual shoes,men,casual shoes,yellow,casual,[],,,115,nike,65,65.jpg
Numero uno men navy blue casual shoes,men,casual shoes,navy blue,casual,['white'],,,165,numero uno,66,66.jpg
Rockport men cv toe hi charcoal casual shoes,men,casual shoes,charcoal,casual,[],,,120,rockport,67,67.jpg
Fila men glow white sports shoes,men,sports shoes,white,sports,['blue'],,,90,fila,68,68.jpg
Franco leone men formal shoes,men,formal shoes,black,formal,[],,,215,franco leone,69,69.jpg
Nike men zoom structure white sports shoes,men,sports shoes,white,sports,[],,,210,nike,70,70.jpg
Reebok men sprintfit lite black sports shoe,men,sports shoes,black,sports,['white'],,,190,reebok,71,71.jpg
Nike men the overplay vii black sports shoes,men,sports shoes,black,sports,['blue'],,,200,nike,72,72.jpg
Adidas men black vanquish sports shoes,men,sports shoes,black,sports,['white'],,,200,adidas,73,73.jpg
Basics men red casual shoes,men,casual shoes,red,casual,[],,,65,basics,74,74.jpg
Buckaroo men brown casual shoes,men,casual shoes,brown,casual,[],,,70,buckaroo,75,75.jpg
Adidas men sports blue sports shoes,men,sports shoes,blue,sports,['yellow'],,,170,adidas,76,76.jpg
Adidas men's boris white shoe,men,sports shoes,white,sports,['black'],,,180,adidas,77,77.jpg
Adidas men white duramo 3 sports shoes,men,sports shoes,white,sports,[],,,150,adidas,78,78.jpg
Fila men glow black sports shoes,men,sports shoes,black,sports,['white'],,,190,fila,79,79.jpg
Arrow men formal black shoes,men,formal shoes,black,formal,[],,,90,arrow,80,80.jpg
Nike men air quick handle red sports shoe,men,sports shoes,red,sports,['black'],,,100,nike,81,81.jpg
Nike men's air max moto white blue shoe,men,sports shoes,white,sports,['blue'],,,130,nike,82,82.jpg
Red tape men's brown casual shoe,men,casual shoes,brown,casual,[],,,110,red tape,83,83.jpg
Franco leone men black formal shoes,men,formal shoes,black,formal,[],,,125,franco leone,84,84.jpg
Numero uno men white shoes,men,casual shoes,white,casual,['green'],,,150,numero uno,85,85.jpg
Gas men grey campus casual shoes,men,casual shoes,grey,casual,[],,,205,gas,86,86.jpg
Enroute men leather brown casual shoes,men,casual shoes,tan,casual,['brown'],,,125,enroute,87,87.jpg
Timberland men black casual shoes,men,boots shoes,black,boots,[],,,165,timberland,88,88.jpg
Adidas men white aztek shoes,men,sports shoes,white,sports,['silver'],,,60,adidas,89,89.jpg
Gas men skate 003 casual shoe,men,casual shoes,black,casual,['red'],,,80,gas,90,90.jpg
Nike men white t-lite 9 sl shoes,men,sports shoes,white,sports,[],,,120,nike,91,91.jpg
Clarks men goto hi cola suede brown shoes,men,casual shoes,brown,casual,[],,,95,clarks,92,92.jpg
Nike men free run+ 2 black sports shoes,men,sports shoes,black,sports,['white'],,,220,nike,93,93.jpg
Fila men leonard red shoes,men,casual shoes,red,casual,['black'],,,145,fila,94,94.jpg
Lee cooper men black semi formal shoe,men,semi formal shoes,black,semi formal,[],,,70,lee cooper,95,95.jpg
Reebok men's easytone inspire white shoe,men,sports shoes,white,sports,['red'],,,115,reebok,96,96.jpg
Adidas men's canon dialect blue yellow shoe,men,sports shoes,blue,sports,['yellow'],,,210,adidas,97,97.jpg
Timberland men black casual shoes,men,casual shoes,black,casual,[],,,90,timberland,98,98.jpg
Id men white shoes,men,casual shoes,white,casual,[],,,175,id,99,99.jpg
Puma men's tarun white silver red shoe,men,sports shoes,white,sports,"['red', 'silver']",,,205,puma,100,100.jpg
Red tape men brown shoes,men,formal shoes,brown,formal,[],,,85,red tape,101,101.jpg
Adidas men snova glide blue sports shoes,men,sports shoes,blue,sports,['white'],,,95,adidas,102,102.jpg
Force 10 men black & green sports shoes,men,sports shoes,black,sports,['green'],,,170,force 10,103,103.jpg
Buckaroo men medina brown formal shoes,men,formal shoes,brown,formal,[],,,185,buckaroo,104,104.jpg
Vans men black era shoes,men,casual shoes,black,casual,[],,,165,vans,105,105.jpg
Playboy men black shoes,men,casual shoes,black,casual,[],,,135,playboy,106,106.jpg
Gas men mila navy blue shoes,men,casual shoes,navy blue,casual,[],,,65,gas,107,107.jpg
Nike men air impetus ii white sports shoe,men,sports shoes,white,sports,['blue'],,,220,nike,108,108.jpg
Red tape men casual brown casual shoes,men,casual shoes,brown,casual,[],,,50,red tape,109,109.jpg
Adidas men brown shoes,men,casual shoes,brown,casual,[],,,100,adidas,110,110.jpg
Numero uno men navy blue shoes,men,casual shoes,navy blue,casual,['white'],,,165,numero uno,111,111.jpg
Fila men syncro white shoes,men,casual shoes,white,casual,[],,,140,fila,112,112.jpg
Basics men black casual shoes,men,casual shoes,black,casual,[],,,200,basics,113,113.jpg
Puma men archive boot wtr brown casual shoes,men,boots shoes,brown,boots,[],,,105,puma,114,114.jpg
Red chief men brown shoes,men,casual shoes,brown,casual,[],,,70,red chief,115,115.jpg
Nike men tiempo natural iv black sports shoes,men,sports shoes,black,sports,['white'],,,65,nike,116,116.jpg
Fila men paramount plus black shoes,men,casual shoes,black,casual,[],,,200,fila,117,117.jpg
Numero uno men black casual shoes,men,casual shoes,black,casual,[],,,50,numero uno,118,118.jpg
Playboy men white shoes,men,casual shoes,white,casual,[],,,80,playboy,119,119.jpg
Gas men jack grey shoes,men,casual shoes,grey,casual,[],,,70,gas,120,120.jpg
Fila men lobato navy blue casual shoes,men,casual shoes,navy blue,casual,[],,,160,fila,121,121.jpg
Red tape men's black formal shoe,men,formal shoes,black,formal,[],,,200,red tape,122,122.jpg
Puma men tekkies jam blue shoe,men,casual shoes,blue,casual,[],,,145,puma,123,123.jpg
Adidas men's boris black shoe,men,sports shoes,black,sports,['white'],,,170,adidas,124,124.jpg
Timberland men light brown casual shoes,men,casual shoes,brown,casual,[],,,80,timberland,125,125.jpg
Nike men air relentness grey sports shoes,men,sports shoes,grey,sports,['yellow'],,,165,nike,126,126.jpg
Gas men arunta olive casual shoes,men,casual shoes,olive,casual,[],,,155,gas,127,127.jpg
Nike men's air citius msl white grey shoe,men,sports shoes,white,sports,['grey'],,,115,nike,128,128.jpg
Nike men white court shuttle shoes,men,sports shoes,white,sports,['grey'],,,110,nike,129,129.jpg
Nike men air zoom century shoes,men,sports shoes,white,sports,[],,,200,nike,130,130.jpg
Fila men's abascuss white blue shoe,men,sports shoes,white,sports,['blue'],,,150,fila,131,131.jpg
Nike men air relentless black sports shoes,men,sports shoes,black,sports,['green'],,,145,nike,132,132.jpg
Ganuchi men casual brown casual shoes,men,casual shoes,brown,casual,[],,,130,ganuchi,133,133.jpg
Fila men's passion black red canvas shoe,men,casual shoes,black,casual,['red'],,,190,fila,134,134.jpg
Timberland men brown casual shoes,men,casual shoes,brown,casual,[],,,165,timberland,135,135.jpg
Vans men red old skool shoes,men,casual shoes,red,casual,['black'],,,60,vans,136,136.jpg
Reebok men white fusion sports shoes,men,sports shoes,white,sports,[],,,190,reebok,137,137.jpg
Clarks men dino limit brown formal shoes,men,formal shoes,brown,formal,[],,,125,clarks,138,138.jpg
Reebok men white ultimate vibe sports shoes,men,sports shoes,white,sports,[],,,200,reebok,139,139.jpg
Lee cooper men white sports shoes,men,sports shoes,white,sports,[],,,175,lee cooper,140,140.jpg
Clarks men brown leather casual shoes,men,casual shoes,brown,casual,[],,,190,clarks,141,141.jpg
Nike men dunk high grey casual shoes,men,casual shoes,grey,casual,[],,,180,nike,142,142.jpg
Numero uno men brown casual shoes,men,casual shoes,brown,casual,[],,,190,numero uno,143,143.jpg
Gas men olive swansea shoes,men,casual shoes,olive,casual,[],,,90,gas,144,144.jpg
Red tape men black semi formal shoes,men,semi formal shoes,black,semi formal,[],,,200,red tape,145,145.jpg
F sports men white voyager sports shoes,men,sports shoes,white,sports,['green'],,,140,f sports,146,146.jpg
United colors of benetton men black shoes,men,casual shoes,black,casual,[],,,205,united colors of benetton,147,147.jpg
Nike men's air max black shoe,men,sports shoes,black,sports,[],,,60,nike,148,148.jpg
Skechers men's charcoal lifestyle shoe,men,casual shoes,brown,casual,[],,,70,skechers,149,149.jpg
Red tape men black semi formal shoes,men,semi formal shoes,black,semi formal,[],,,205,red tape,150,150.jpg
Nike men ballista sl white sports shoes,men,sports shoes,white,sports,['red'],,,155,nike,151,151.jpg
Asics men's gel phoenix 3 black silver shoe,men,sports shoes,black,sports,['silver'],,,220,asics,152,152.jpg
Adidas men brown mudslide shoes,men,casual shoes,brown,casual,[],,,120,adidas,153,153.jpg
Nike men's free white grey shoe,men,sports shoes,white,sports,['grey'],,,215,nike,154,154.jpg
Adidas men phantom blue sports shoes,men,sports shoes,blue,sports,['grey'],,,90,adidas,155,155.jpg
Nike men nike lunarfly+  2 navy blue sports shoes,men,sports shoes,navy blue,sports,['blue'],,,220,nike,156,156.jpg
Adidas men titan sports shoes,men,sports shoes,silver,sports,[],,,130,adidas,157,157.jpg
Provogue men black formal shoes,men,formal shoes,black,formal,[],,,70,provogue,158,158.jpg
Fila men's victory black shoe,men,sports shoes,black,sports,[],,,105,fila,159,159.jpg
Converse men black & red shoes,men,casual shoes,black,casual,['red'],,,75,converse,160,160.jpg
Globalite men black sparta shoes,men,casual shoes,black,casual,[],,,70,globalite,161,161.jpg
Nike men's lunarfly blue shoe,men,sports shoes,blue,sports,[],,,195,nike,162,162.jpg
Puma men drift cat iii cf black sports shoes,men,sports shoes,black,sports,['white'],,,205,puma,163,163.jpg
Flying machine men casual black casual shoes,men,casual shoes,black,casual,[],,,55,flying machine,164,164.jpg
Puma men neo low black casual shoes,men,casual shoes,black,casual,[],,,110,puma,165,165.jpg
Adidas men dumont beige sports shoes,men,sports shoes,beige,sports,[],,,120,adidas,166,166.jpg
Lee cooper men nnado black formal shoes,men,formal shoes,black,formal,[],,,190,lee cooper,167,167.jpg
Lee cooper men  brown casual shoe,men,casual shoes,brown,casual,[],,,45,lee cooper,168,168.jpg
Skechers men tone-ups black shoe,men,casual shoes,black,casual,[],,,180,skechers,169,169.jpg
Skechers men's striking black shoe,men,casual shoes,black,casual,[],,,90,skechers,170,170.jpg
Converse men red casual shoes,men,casual shoes,red,casual,['multi'],,,130,converse,171,171.jpg
Clarks men black formal shoes,men,formal shoes,black,formal,[],,,85,clarks,172,172.jpg
Lotto men grey skateboard shoes,men,casual shoes,grey,casual,['yellow'],,,170,lotto,173,173.jpg
Red chief men khaki casual shoes,men,casual shoes,khaki,casual,[],,,125,red chief,174,174.jpg
Franco leone men formal black formal shoes,men,formal shoes,black,formal,[],,,120,franco leone,175,175.jpg
Adidas men black hydroterra shandal casual shoes,men,casual shoes,black,casual,['blue'],,,95,adidas,176,176.jpg
Vans men classic slip-on black shoes,men,casual shoes,black,casual,[],,,105,vans,177,177.jpg
Nike men air twilight black shoes,men,sports shoes,black,casual,['white'],,,205,nike,178,178.jpg
Puma men hypermoto ducati black shoes,men,casual shoes,black,casual,['red'],,,50,puma,179,179.jpg
Puma men sl tech lo sf white sports shoes,men,sports shoes,white,sports,['red'],,,65,puma,180,180.jpg
Converse men's as canvas hi black shoe,men,casual shoes,black,casual,[],,,195,converse,181,181.jpg
Carlton london men semi formal black shoe,men,semi formal shoes,black,semi formal,[],,,80,carlton london,182,182.jpg
Asics men gel enduro 7 running silver sports shoes,men,sports shoes,grey,sports,['silver'],,,130,asics,183,183.jpg
Nike men lunarswift +3 grey sports shoes,men,sports shoes,grey,sports,['red'],,,140,nike,184,184.jpg
Globalite men white terra shoes,men,casual shoes,white,casual,['red'],,,95,globalite,185,185.jpg
Nike men's elite black shoe,men,sports shoes,black,sports,['grey'],,,60,nike,186,186.jpg
Puma men white aquil sports shoes,men,sports shoes,white,sports,['green'],,,170,puma,187,187.jpg
Puma men jago ripstop black sports shoes,men,sports shoes,black,sports,[],,,120,puma,188,188.jpg
Fila men's agony black red shoe,men,casual shoes,black,casual,['red'],,,190,fila,189,189.jpg
Provouge men black formal shoes,men,formal shoes,black,formal,[],,,75,provouge,190,190.jpg
Lee cooper men's lc casual denim blue shoe,men,casual shoes,blue,casual,[],,,115,lee cooper,191,191.jpg
Adidas men dash casual shoes,men,casual shoes,black,casual,['red'],,,205,adidas,192,192.jpg
Lee cooper men brown shoes,men,boots shoes,brown,boots,[],,,150,lee cooper,193,193.jpg
Asics men's gel cushioning black yellow shoe,men,sports shoes,black,sports,['yellow'],,,190,asics,194,194.jpg
Buckaroo men bello blue casual shoes,men,casual shoes,blue,casual,['white'],,,205,buckaroo,195,195.jpg
Lotto men's calcetto black brown shoe,men,casual shoes,black,casual,['brown'],,,95,lotto,196,196.jpg
Nike men's dunk low blue shoe,men,sports shoes,blue,sports,[],,,45,nike,197,197.jpg
Numero uno men brown casual shoes,men,casual shoes,brown,casual,['red'],,,70,numero uno,198,198.jpg
Skechers men dark brown lifestyle shoe,men,casual shoes,brown,casual,[],,,165,skechers,199,199.jpg
Puma men evo ducati lo white casual shoes,men,casual shoes,white,casual,[],,,190,puma,200,200.jpg
F sports men white zero gravity sports shoes,men,sports shoes,white,sports,[],,,180,f sports,201,201.jpg
United colors of benetton men charcoal shoes,men,casual shoes,charcoal,casual,[],,,120,united colors of benetton,202,202.jpg
Lee cooper men's casual leather black shoe,men,casual shoes,black,casual,[],,,200,lee cooper,203,203.jpg
Puma men future cat white shoes,men,casual shoes,white,casual,['red'],,,145,puma,204,204.jpg
Adidas men's black shoe,men,casual shoes,black,casual,['white'],,,100,adidas,205,205.jpg
Adidas men falcon elite white sports shoes,men,sports shoes,white,sports,['blue'],,,100,adidas,206,206.jpg
Reebok men white acciomax ii sports shoes,men,sports shoes,white,sports,[],,,155,reebok,207,207.jpg
Flying machine men black shoes,men,casual shoes,black,casual,[],,,220,flying machine,208,208.jpg
Nike men avid grey shoes,men,casual shoes,grey,casual,['orange'],,,155,nike,209,209.jpg
F sports men navy blue vito shoes,men,casual shoes,navy blue,casual,[],,,130,f sports,210,210.jpg
Skechers men usa brown shoe,men,casual shoes,brown,casual,[],,,200,skechers,211,211.jpg
Adidas men duramo 3 m grey sports shoes,men,sports shoes,grey,sports,['red'],,,180,adidas,212,212.jpg
Red tape men mocassins black casual shoes,men,casual shoes,black,casual,[],,,170,red tape,213,213.jpg
Lee cooper men  black casual shoe,men,casual shoes,black,casual,[],,,215,lee cooper,214,214.jpg
Nike men air impetus ii white sports shoes,men,sports shoes,white,sports,['yellow'],,,95,nike,215,215.jpg
Reebok men grey premier trinity sports shoes,men,sports shoes,grey,sports,[],,,150,reebok,216,216.jpg
Nike men dart vii leather white sports shoes,men,sports shoes,white,sports,[],,,215,nike,217,217.jpg
Lee cooper men white shoes,men,casual shoes,white,casual,[],,,130,lee cooper,218,218.jpg
Converse men's chuck taylor print ox white canvas shoe,men,casual shoes,white,casual,[],,,215,converse,219,219.jpg
Lotto men dolce vita ii black sports shoes,men,sports shoes,black,sports,[],,,120,lotto,220,220.jpg
Woodland men black shoes,men,casual shoes,black,casual,[],,,165,woodland,221,221.jpg
Adidas men blue & red f10 sports shoes,men,sports shoes,blue,sports,['red'],,,215,adidas,222,222.jpg
Fila men trempet white sports shoes,men,sports shoes,white,sports,[],,,145,fila,223,223.jpg
Lotto men black dolce vita shoes,men,casual shoes,black,casual,['red'],,,100,lotto,224,224.jpg
Skechers men off white lifestyle casual shoe,men,casual shoes,white,casual,['off white'],,,215,skechers,225,225.jpg
Skechers men black casual shoes,men,casual shoes,black,casual,[],,,205,skechers,226,226.jpg
Nike men's mercurial vic pink shoe,men,sports shoes,pink,sports,[],,,160,nike,227,227.jpg
Lotto men white los angeles ii sports shoes,men,sports shoes,white,sports,[],,,215,lotto,228,228.jpg
Puma men brown vintage ferrari shoes,men,casual shoes,brown,casual,[],,,110,puma,229,229.jpg
Adidas men white sparta sports shoes,men,sports shoes,white,sports,[],,,80,adidas,230,230.jpg
Flying machine men casual grey casual shoes,men,casual shoes,grey,casual,[],,,160,flying machine,231,231.jpg
Fila men's bruno white shoe,men,casual shoes,white,casual,['black'],,,50,fila,232,232.jpg
Id men blue shoes,men,casual shoes,blue,casual,['black'],,,70,id,233,233.jpg
Reebok men's ventilator ubiq shoe,men,sports shoes,brown,sports,[],,,120,reebok,234,234.jpg
Fila men forza 11 black sports shoes,men,sports shoes,black,sports,[],,,135,fila,235,235.jpg
Nike men lengo black sports shoes,men,sports shoes,black,sports,[],,,55,nike,236,236.jpg
Globalite men grey tracker shoes,men,casual shoes,grey,casual,[],,,220,globalite,237,237.jpg
Clarks men brown formal shoes,men,formal shoes,brown,formal,[],,,145,clarks,238,238.jpg
Fila men racer white sports shoes,men,sports shoes,white,sports,[],,,125,fila,239,239.jpg
Buckaroo men amigo maroon casual shoes,men,casual shoes,maroon,casual,[],,,140,buckaroo,240,240.jpg
Nike men air relentless black sports shoes,men,sports shoes,black,sports,['pink'],,,95,nike,241,241.jpg
Nike men lunarswi + 2 blue sports shoes,men,sports shoes,blue,sports,[],,,210,nike,242,242.jpg
Lee cooper men  black formal shoe,men,formal shoes,black,formal,[],,,135,lee cooper,243,243.jpg
Asics men's gel challenger 8 tennis white blue shoe,men,sports shoes,white,sports,['blue'],,,145,asics,244,244.jpg
Nike men downshifter black sports shoes,men,sports shoes,black,sports,[],,,175,nike,245,245.jpg
Timberland men's ox maroon red shoe,men,casual shoes,red,casual,['maroon'],,,70,timberland,246,246.jpg
Red tape men brown shoes,men,casual shoes,brown,casual,[],,,100,red tape,247,247.jpg
Reebok men's frisker lp shoe,men,sports shoes,white,sports,[],,,140,reebok,248,248.jpg
Flying machine men casual black casual shoes,men,casual shoes,black,casual,[],,,65,flying machine,249,249.jpg
Adidas men silver phaedra shoes,men,sports shoes,silver,sports,[],,,120,adidas,250,250.jpg
Id men blue shoes,men,casual shoes,blue,casual,[],,,205,id,251,251.jpg
Lotto men l500 fg white sports shoes,men,sports shoes,white,sports,['yellow'],,,165,lotto,252,252.jpg
Adidas men white sport shoes,men,sports shoes,white,sports,[],,,205,adidas,253,253.jpg
F sports men white bratt sports shoes,men,sports shoes,white,sports,[],,,205,f sports,254,254.jpg
Red tape men black shoes,men,formal shoes,black,casual,[],,,170,red tape,255,255.jpg
Adidas men's silver white running shoe,men,sports shoes,silver,sports,"['white', 'red']",,,210,adidas,256,256.jpg
Nike men dual fusion tr iii grey sports shoes,men,sports shoes,grey,sports,['blue'],,,170,nike,257,257.jpg
Adidas men eqt nitro fashion black sports shoes,men,sports shoes,black,sports,['green'],,,85,adidas,258,258.jpg
Skechers men valence envoy black shoe,men,casual shoes,black,casual,[],,,165,skechers,259,259.jpg
Nike men white court shuttle iv sports shoes,men,sports shoes,white,sports,[],,,85,nike,260,260.jpg
Globalite men navy blue skid shoes,men,casual shoes,grey,casual,"['navy blue', 'blue']",,,105,globalite,261,261.jpg
Nike men air pegasus blue sports shoes,men,sports shoes,blue,sports,['black'],,,150,nike,262,262.jpg
Lotto men brown fella tres shoes,men,casual shoes,brown,casual,[],,,65,lotto,263,263.jpg
Fila men trempet black & white sports shoes,men,sports shoes,black,sports,['white'],,,110,fila,264,264.jpg
Puma men blue shoes,men,casual shoes,blue,casual,['white'],,,95,puma,265,265.jpg
Provogue men black casual shoes,men,formal shoes,black,formal,[],,,85,provogue,266,266.jpg
Timberland men's desert walnut brown shoe,men,casual shoes,brown,casual,[],,,95,timberland,267,267.jpg
Skechers men's brown casual lifestyle shoe,men,casual shoes,brown,casual,[],,,115,skechers,268,268.jpg
F sports men white charger shoes,men,casual shoes,white,casual,[],,,175,f sports,269,269.jpg
United colors of benetton men brown shoes,men,casual shoes,brown,casual,[],,,180,united colors of benetton,270,270.jpg
Nike men liteforce grey shoes,men,casual shoes,grey,casual,[],,,145,nike,271,271.jpg
Rockport men brown cashaw camel suede casual shoes,men,casual shoes,brown,casual,[],,,85,rockport,272,272.jpg
Vans men blue shoes,men,casual shoes,blue,casual,[],,,95,vans,273,273.jpg
Puma men faas 300 white sports shoes,men,sports shoes,white,sports,['green'],,,180,puma,274,274.jpg
Vans men era grey shoes,men,casual shoes,grey,casual,[],,,155,vans,275,275.jpg
Provouge men black classic formal shoe,men,formal shoes,black,formal,[],,,195,provouge,276,276.jpg
Arrow men red shoes,men,casual shoes,red,casual,[],,,195,arrow,277,277.jpg
Lee cooper men leather semi formal brown shoe,men,semi formal shoes,brown,semi formal,[],,,95,lee cooper,278,278.jpg
Skechers men black sneakers,men,casual shoes,black,casual,"['white', 'red']",,,175,skechers,279,279.jpg
Nike men's nike streetgato black shoe,men,sports shoes,black,sports,[],,,130,nike,280,280.jpg
Puma men mid biz ind white shoes,men,sports shoes,white,sports,[],,,65,puma,281,281.jpg
Red chief men brown shoes,men,casual shoes,brown,casual,[],,,110,red chief,282,282.jpg
Nike men air max quarter black sports shoes,men,sports shoes,black,sports,['red'],,,120,nike,283,283.jpg
Adidas men white snipe lo casual shoes,men,casual shoes,white,casual,[],,,75,adidas,284,284.jpg
Fila men dls circuit 2 black sports shoes,men,sports shoes,black,sports,['blue'],,,55,fila,285,285.jpg
Numero uno men white casual shoes,men,casual shoes,white,casual,['green'],,,160,numero uno,286,286.jpg
Nike men supergame black sports shoe,men,sports shoes,black,sports,[],,,220,nike,287,287.jpg
Red tape men casual brown casual shoes,men,boots shoes,brown,boots,[],,,155,red tape,288,288.jpg
Basics men black casual shoes,men,casual shoes,black,casual,['green'],,,135,basics,289,289.jpg
Puma men el rey riddim 50s oc grey casual shoes,men,casual shoes,grey,casual,[],,,65,puma,290,290.jpg
Puma men aquil white sports shoes,men,sports shoes,white,sports,['red'],,,75,puma,291,291.jpg
Enroute men leather tan formal shoes,men,formal shoes,tan,formal,[],,,135,enroute,292,292.jpg
Lee cooper men black & white sports shoes,men,sports shoes,black,casual,['white'],,,80,lee cooper,293,293.jpg
